,emotion,labels_clean
4995,disgusted,Thats a fair point But Lebron James is different and probably seeks to try to really control the team he is on so that can be difficult too
4996,disgusted,I think owners should be professional because everyone is watching  You treat your star like that how do you treat the little average joe on the team
5029,angry,I am sure you are that sounds bad
5030,angry,There are just bad people out there
5031,angry,Its awful How are people okay with being so cruel
5041,annoyed,I know exactly what you mean
5042,annoyed,It makes it hard to communicate though
5043,annoyed,I guess everyone feels like that to an extent it is unavoidable
5050,disgusted,WOW Why do people have to be violent ugh 
5051,disgusted,right me either its too bad but glad you are thinking right 
5052,disgusted,I do not know I do not hate anyone enough to do that to them
5056,annoyed,thats nice
5057,annoyed,sorry to hear that
5058,annoyed,She is terrible Thats not nice at all
5059,annoyed,She is so loud and the police are there all the time
5066,angry,Please dont care about those people Try to be true to yourself World will recognize you one day  
5067,angry,Exactly Youre right Ignore them 
5068,angry,That is so true People like that are not worth the time of day
5069,angry,Have you been married a long time
5070,angry,I know that had to hurt But forgive her and let her make it up to you
5071,angry,yeah Its our 2nd anniversary 
5072,angry,Yeah its her situation I understand But hurts a little
5130,angry,Oh no I would have too Did you find him
5131,angry,Oh Interesting A hole under the fence Im sorry to hear that
5132,angry,no he dug a hole and ran away
5142,disgusted,That is nasty did it get on anyone else that would not be fun
5143,disgusted,That is so nasty I am glad I was not there
5144,disgusted,It got all over many people It was gross
5145,disgusted,wow  thats really awesome What kind of car did you get
5146,disgusted,what thats absolutely horrble
5147,disgusted,I was disgusted when I saw someone bleeding during a fight their head had been cracked
5157,angry,Did you find him
5158,angry,How long has it been I am so sorry That must be so difficult
5159,angry,No i did not
5160,disgusted,No gross did you flip 
5161,disgusted,i am sure it wasnt 
5162,disgusted,No I had my brother clean it up But it got on my shoe which wasnt nice to deal with
5191,disgusted,Thats nuts do you know if they are ok
5192,disgusted,Ah ok Thats crazy though Hope they are ok
5193,disgusted,No idea I think they were okay but I did not know them personally
5301,disgusted,oh no that is unfortunate are you alright
5302,disgusted,wow you might just have bad luck
5303,disgusted,i would just take an uber from now on if i were you
5304,disgusted,Yes  The first thing they said when they got out of their car was I dont have insurance
5305,disgusted,I believe I do because it was the third straight time someone has hit me without insurance
5358,disgusted,Did you pet try to eat it
5359,disgusted,What do you think happened to it
5360,disgusted,I agree However it is the circle of life and all that and we are a part of it too
5361,disgusted,No way I turned around as soon as I saw it
5362,disgusted,I think as bird or another animal of some sort ate it Thats pretty gross
5363,angry,That sucks I cant count on my own family for favors either
5364,angry,Maybe you should tell him how urgent the oil change is Maybe he will understand
5365,angry,Well hes usually dependable And it is a favor to begin with so I cant get too mad Its just I asked for it as the only thing Id like for my birthday and I was kind of hoping for it to be done
5373,angry,what movie was it 
5374,angry,lol sounds terrible 
5375,angry,i dont know I didnt get far The was a weird kid and rats
5376,angry,it was
5377,angry,Why What happened
5378,angry,ok no I cant even
5379,angry,cockroaches everywhere gross
5404,angry,That isnt right I wouldnt of gone in
5405,angry,Did you complain to HR
5406,angry,I wasnt going to but he said I would be fired Its so unfair
5407,angry,I am thinking about doing just that
5444,angry,Wow sounds like what i just seen on the news in NC im so sorry  
5445,angry,thats always important to have and i am glad you have that 
5446,angry,Thank you for the sentiment  I have a great support system to help me through this
5502,angry,I hate when that happens Were you able to get a credit for it
5503,angry,Thats too bad That is a big difference
5504,angry,No Its been too long
5511,disgusted,What happened I dont know of this news
5512,disgusted,Oh my god Is he in a position of power
5513,disgusted,He raped women terrible
5587,annoyed,oh wow what do you plan to do
5588,annoyed,good luck
5589,annoyed,Im not sure yet Im praying that the pain will magically go away 
5631,angry,What did he do
5632,angry,Did he do it
5633,angry,He was accuse of cheating
5662,angry,Im sorry to hear that  What made them think it was you
5663,angry,Its unfortunate that they would take their word over yours  It shows how little they knew you
5664,angry,A customer lied about me
5675,angry,That sounds shady  Did it ever get worked out
5676,angry,That is very discouraging   I am sorry you have to deal with that stress
5677,angry,No it didnt I am actually on a final warning right now Its discouraging for sure
5681,angry,What happened to make it that way
5682,angry,Yeah that sucks I have gone through that too
5683,angry,I still dont know  Weve been dealing with it for months  Ive lived here for years  What makes me so mad though is that they all keep telling me well it is hot outside Well yessss I know that
5684,angry,I finally started to preface my phone calls to them with please do not tell me its hot outside  I know  Ive lived in Texas my whole life  I get it Infuriating
5691,annoyed,Thats good to hear and do
5692,annoyed,I hate being late
5693,annoyed,Not really because now I am always late It all started because of having to carpool now
5747,angry,Did you try talking with your supervisor 1 on 1
